age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,Interests,Looking for,Language
24,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K,art,market place,English
46,State-gov,HS-grad,*,Other-service,Wife,White,Female,0,0,35,*,<=50K,community,forum,Bari
30,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,music,things to do,Ukranian
37,Private,Bachelors,Married-civ-spouse,Sales,Own-child,White,Male,0,0,50,United-States,<=50K,tours,hangouts,English
30,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,0,0,72,United-States,<=50K,art,advice,Ukranian
45,Private,*,Widowed,Transport-moving,Unmarried,White,Male,0,0,60,United-States,<=50K,cooking,hangouts,Belarussian
24,nan,HS-grad,Married-civ-spouse,nan,Husband,White,Male,0,0,40,United-States,<=50K,basketball,meet people,Somali
41,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K,cooking,advice,Belarussian
36,Self-emp-not-inc,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,Mexico,<=50K,community,hangouts,Somali
28,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K,games,hangouts,Russian
40,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,*,Male,0,0,43,United-States,>50K,basketball,advice,Pashto
52,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,languages,advice,Spanish
19,nan,*,Never-married,nan,Not-in-family,White,Male,0,0,40,Mexico,<=50K,cooking,meet people,Arabics
23,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K,coding,market place,Dari
43,Private,Some-college,Widowed,Tech-support,Wife,Black,Female,0,0,38,United-States,>50K,tours,hangouts,Hindi
38,State-gov,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,20,*,<=50K,languages,advice,Dari
38,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,>50K,food,advice,Bengali
33,Private,HS-grad,Separated,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K,cooking,hangouts,Bengali
44,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,50,*,<=50K,football,hangouts,Ukranian
29,Private,Some-college,Never-married,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K,music,hangouts,Bengali
43,Local-gov,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K,food,meet people,Somali
34,Private,*,Never-married,Other-service,Not-in-family,White,Male,0,0,44,United-States,<=50K,coding,forum,English
47,State-gov,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,cooking,market place,Somali
50,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,basketball,forum,Spanish
19,nan,HS-grad,Never-married,nan,Own-child,*,Male,0,0,10,United-States,<=50K,basketball,forum,Pashto
22,Private,HS-grad,Never-married,Sales,Own-child,*,Female,0,0,35,United-States,<=50K,cooking,advice,Dari
37,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,7687,0,60,United-States,>50K,coding,advice,Tamil
53,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Male,0,0,50,United-States,<=50K,games,things to do,Tamil
58,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,United-States,<=50K,games,things to do,Bari
33,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,0,0,37,United-States,<=50K,art,meet people,Arabics
59,Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,40,*,<=50K,literature,meet people,Somali
23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K,football,things to do,Bari
27,Private,Bachelors,Never-married,Prof-specialty,Other-relative,*,Female,0,0,37,United-States,<=50K,music,advice,Tamil
22,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,languages,advice,Belarussian
34,Private,Some-college,Separated,Protective-serv,Unmarried,Black,Male,0,0,37,United-States,<=50K,coding,advice,Hindi
26,Private,HS-grad,*,Other-service,Other-relative,White,Female,0,0,20,*,<=50K,community,things to do,Pashto
44,Local-gov,Some-college,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K,football,advice,Tamil
68,nan,*,Widowed,nan,Unmarried,Black,Female,0,0,40,United-States,<=50K,basketball,things to do,Bari
23,Private,10th,Never-married,Other-service,Not-in-family,White,Male,0,0,50,nan,<=50K,languages,things to do,Tamil
41,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K,community,meet people,Bengali
25,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,35,United-States,<=50K,coding,advice,Spanish
40,Private,Assoc-voc,Never-married,Tech-support,Wife,Black,Female,0,0,45,United-States,<=50K,basketball,forum,Belarussian
43,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,cooking,market place,Spanish
49,Private,Bachelors,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,music,forum,Arabics
23,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,*,<=50K,basketball,meet people,Russian
39,Private,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Male,5173,0,40,United-States,>50K,games,hangouts,Bari
42,Private,Assoc-acdm,Widowed,Prof-specialty,Other-relative,White,Female,0,0,40,*,>50K,pets,market place,Belarussian
51,State-gov,HS-grad,Widowed,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K,cooking,advice,Bengali
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,*,<=50K,languages,advice,Bari
24,Local-gov,Some-college,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,languages,forum,Bari
36,State-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,38,United-States,<=50K,community,market place,Ukranian
40,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,35,United-States,>50K,basketball,market place,Somali
46,Private,Bachelors,Divorced,*,Unmarried,White,Female,0,0,35,United-States,>50K,basketball,hangouts,Bari
40,Federal-gov,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,cooking,advice,Tamil
19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Female,78286,0,20,United-States,<=50K,languages,hangouts,Pashto
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,music,hangouts,Tamil
40,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K,basketball,market place,Arabics
34,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,0,0,35,United-States,<=50K,food,meet people,Belarussian
37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K,music,advice,Pashto
31,nan,Some-college,Widowed,nan,Wife,White,Female,0,0,10,United-States,<=50K,football,forum,Spanish
31,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,coding,hangouts,Ukranian
41,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K,tours,things to do,Hindi
35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,*,Male,0,0,50,United-States,<=50K,cooking,advice,Russian
49,Private,Bachelors,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K,coding,advice,Hindi
27,State-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,coding,market place,Hindi
20,nan,HS-grad,Never-married,nan,Wife,White,Female,0,0,45,United-States,<=50K,food,things to do,Spanish
51,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,21022,0,50,United-States,>50K,tours,things to do,Pashto
34,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,languages,forum,Pashto
39,Private,HS-grad,*,Tech-support,Wife,Black,Female,0,0,40,United-States,<=50K,art,market place,Tamil
22,Private,HS-grad,Never-married,Other-service,Other-relative,Black,Male,0,0,80,United-States,<=50K,community,meet people,Arabics
30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,football,forum,Belarussian
33,Federal-gov,Assoc-acdm,Never-married,Transport-moving,Unmarried,Black,Male,0,0,60,United-States,<=50K,community,meet people,Pashto
32,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,4386,0,50,United-States,<=50K,pets,advice,Bengali
30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,54,United-States,<=50K,games,things to do,Spanish
35,Private,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<=50K,football,meet people,Bari
23,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,basketball,advice,Tamil
46,Self-emp-not-inc,Some-college,Divorced,Other-service,Unmarried,White,Female,0,0,45,United-States,<=50K,games,things to do,Bengali
73,Self-emp-inc,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,tours,meet people,Somali
40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,52,United-States,>50K,music,hangouts,Dari
34,State-gov,Bachelors,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K,music,hangouts,Hindi
24,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,art,meet people,Bengali
24,Private,Bachelors,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,40,*,<=50K,basketball,hangouts,Dari
46,Local-gov,*,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,80,United-States,>50K,music,market place,Bengali
45,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,4396,0,38,United-States,>50K,coding,forum,Pashto
53,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,54,nan,<=50K,food,things to do,Hindi
48,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,*,<=50K,cooking,things to do,Russian
46,Private,10th,Widowed,Tech-support,Wife,White,Female,0,0,45,*,<=50K,community,things to do,Russian
33,Private,*,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2886,34,Mexico,<=50K,games,market place,Bengali
45,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,community,forum,Pashto
42,State-gov,Some-college,Divorced,Transport-moving,Unmarried,White,Male,0,0,38,United-States,<=50K,basketball,things to do,Russian
56,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,0,1657,40,United-States,<=50K,games,meet people,Russian
25,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,0,1871,40,United-States,<=50K,pets,advice,Arabics
58,Private,*,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,8,United-States,<=50K,pets,market place,Bari
35,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,0,1591,60,United-States,>50K,basketball,hangouts,Somali
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,7687,0,60,United-States,>50K,tours,market place,Dari
48,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,15024,0,45,United-States,>50K,football,market place,Spanish
42,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K,community,advice,Bari
25,nan,Some-college,Never-married,nan,Own-child,White,Male,0,0,40,United-States,<=50K,coding,advice,English
56,nan,HS-grad,Married-civ-spouse,nan,Own-child,White,Male,0,0,25,United-States,<=50K,community,advice,Somali
45,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,basketball,things to do,Russian
27,Self-emp-inc,Bachelors,*,Protective-serv,Wife,Black,Female,0,0,48,United-States,<=50K,community,market place,English
22,Private,HS-grad,Never-married,Tech-support,Other-relative,Black,Male,0,0,40,United-States,<=50K,community,advice,Pashto
26,State-gov,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,pets,hangouts,Pashto
60,Private,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K,games,hangouts,Hindi
45,Private,11th,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,literature,meet people,Russian
25,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,community,hangouts,Bari
38,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0,0,12,United-States,<=50K,coding,meet people,Belarussian
69,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,music,things to do,Somali
29,nan,Some-college,Divorced,nan,Unmarried,Black,Male,0,0,40,United-States,<=50K,literature,forum,Spanish
22,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K,games,advice,Spanish
58,Federal-gov,Some-college,Widowed,Adm-clerical,Wife,Black,Female,0,0,54,United-States,<=50K,football,forum,Hindi
22,State-gov,HS-grad,Never-married,Farming-fishing,Own-child,White,Female,0,0,40,United-States,<=50K,community,hangouts,Ukranian
63,State-gov,Some-college,Divorced,Adm-clerical,Unmarried,*,Female,0,0,40,United-States,<=50K,coding,meet people,Dari
42,Private,*,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,games,advice,Spanish
33,Private,*,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K,football,advice,Arabics
30,Private,Some-college,Divorced,Transport-moving,Not-in-family,White,Male,0,0,30,United-States,<=50K,tours,advice,Ukranian
64,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,*,Male,0,0,35,United-States,<=50K,music,advice,Belarussian
43,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,art,things to do,Belarussian
34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,cooking,market place,Belarussian
44,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,pets,hangouts,Bari
25,Self-emp-not-inc,*,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<=50K,literature,meet people,Pashto
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K,art,meet people,Hindi
49,Federal-gov,Assoc-acdm,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,45,United-States,<=50K,art,hangouts,Arabics
33,Private,HS-grad,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,35,*,<=50K,basketball,meet people,Pashto
42,State-gov,10th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,languages,market place,Pashto
30,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K,languages,meet people,Pashto
36,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,>50K,cooking,advice,Bengali
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,basketball,things to do,Bengali
58,Self-emp-not-inc,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,music,forum,Russian
47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,*,Male,0,0,40,United-States,<=50K,music,hangouts,Dari
22,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,music,forum,Bari
40,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,community,things to do,Dari
27,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,54,United-States,<=50K,cooking,forum,Bengali
45,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,*,<=50K,pets,hangouts,Bari
49,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,0,0,32,United-States,<=50K,basketball,things to do,Belarussian
25,Private,Some-college,Never-married,Sales,Own-child,White,Male,0,0,44,United-States,<=50K,pets,forum,Spanish
50,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,art,things to do,Ukranian
36,Private,*,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,cooking,market place,Bengali
59,nan,10th,Divorced,nan,Unmarried,White,Female,0,0,40,United-States,<=50K,literature,meet people,Bari
22,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Male,0,0,25,United-States,<=50K,food,advice,Spanish
47,Local-gov,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,football,meet people,Arabics
38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,coding,forum,Bari
37,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,>50K,coding,hangouts,Tamil
46,Private,HS-grad,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,<=50K,basketball,market place,English
32,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,football,advice,Ukranian
31,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,games,forum,English
49,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,44,United-States,>50K,tours,market place,Arabics
63,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,2308,0,20,*,<=50K,tours,meet people,Bari
50,Self-emp-not-inc,*,Divorced,Transport-moving,Not-in-family,White,Male,0,0,65,United-States,<=50K,languages,things to do,Bari
18,nan,Some-college,Never-married,nan,Own-child,White,Female,0,0,40,United-States,<=50K,basketball,market place,Bari
37,State-gov,Bachelors,Never-married,Prof-specialty,Husband,White,Male,0,0,54,nan,>50K,pets,meet people,Bari
20,nan,Some-college,Never-married,nan,Own-child,White,Female,0,0,40,United-States,<=50K,pets,hangouts,Arabics
36,Private,HS-grad,Never-married,Protective-serv,Own-child,Black,Male,0,0,40,United-States,<=50K,tours,things to do,Spanish
46,Private,*,*,Machine-op-inspct,Wife,White,Female,0,0,40,*,<=50K,community,advice,Somali
36,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K,community,meet people,Hindi
21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K,literature,forum,Hindi
25,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,coding,market place,Pashto
28,Private,Some-college,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,basketball,hangouts,Belarussian
50,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,basketball,market place,Pashto
21,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K,pets,advice,Ukranian
23,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,food,things to do,Bengali
58,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Wife,White,Female,0,1624,45,*,<=50K,football,things to do,Pashto
47,Private,Bachelors,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K,games,meet people,Russian
44,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,tours,things to do,Ukranian
43,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,1902,54,United-States,>50K,languages,market place,Belarussian
26,Private,10th,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,*,<=50K,cooking,things to do,Somali
35,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,tours,advice,English
48,State-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,<=50K,coding,forum,Dari
35,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,tours,advice,Bengali
31,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,pets,market place,Somali
53,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,0,1740,40,United-States,<=50K,music,forum,Spanish
21,Private,Some-college,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K,tours,forum,Hindi
36,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,*,<=50K,basketball,advice,Somali
32,State-gov,Bachelors,Divorced,Craft-repair,Not-in-family,White,Female,0,0,47,*,<=50K,food,market place,Hindi
44,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,cooking,advice,Ukranian
28,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,0,0,50,United-States,<=50K,football,things to do,Tamil
22,nan,*,Never-married,nan,Own-child,White,Male,0,0,40,United-States,<=50K,literature,market place,Somali
33,Private,10th,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K,languages,meet people,Somali
40,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,pets,market place,Arabics
20,nan,Some-college,Never-married,nan,Own-child,White,Male,0,0,40,United-States,<=50K,cooking,advice,Pashto
24,Private,HS-grad,*,Other-service,Wife,White,Female,0,0,25,United-States,<=50K,football,hangouts,Spanish
22,Private,Some-college,Never-married,Protective-serv,Not-in-family,White,Female,0,0,24,United-States,<=50K,literature,meet people,Hindi
20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,art,market place,Bengali
31,Private,11th,Never-married,Transport-moving,Unmarried,White,Male,0,0,40,United-States,<=50K,languages,forum,Tamil
56,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,art,meet people,Bari
56,Private,*,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K,music,market place,Somali
20,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K,pets,hangouts,Arabics
19,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,basketball,things to do,Bengali
46,Private,Masters,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,>50K,community,market place,Bengali
36,Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,languages,hangouts,Hindi
34,nan,10th,Divorced,nan,Unmarried,White,Male,0,0,50,United-States,<=50K,basketball,things to do,Dari
31,Private,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,art,hangouts,Bengali
34,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,<=50K,football,things to do,Bari
59,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,coding,market place,Spanish
20,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,cooking,market place,Somali
71,Private,*,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,*,<=50K,music,hangouts,Ukranian
37,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,tours,hangouts,Hindi
24,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,20,United-States,<=50K,cooking,forum,Bengali
24,nan,*,Married-civ-spouse,nan,Own-child,White,Male,0,0,60,United-States,<=50K,pets,things to do,Dari
64,Local-gov,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,music,things to do,Bengali
45,Private,Masters,Never-married,Protective-serv,Unmarried,Black,Female,2546,0,50,United-States,<=50K,pets,market place,Bengali
73,Private,10th,Widowed,Other-service,Unmarried,White,Female,0,0,9,United-States,<=50K,music,advice,Dari
48,Private,Some-college,Separated,Other-service,Unmarried,White,Female,0,0,20,United-States,<=50K,pets,things to do,Arabics
17,Private,11th,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K,music,market place,Bari
65,Private,*,*,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,cooking,things to do,Ukranian
32,Local-gov,10th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,United-States,<=50K,coding,advice,Arabics
30,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,languages,advice,Belarussian
23,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,0,0,35,United-States,<=50K,food,hangouts,Belarussian
18,Private,11th,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K,art,meet people,Hindi
55,Private,11th,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K,literature,hangouts,Bengali
61,Private,HS-grad,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,*,<=50K,basketball,meet people,Bari
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,cooking,things to do,English
49,Local-gov,HS-grad,Never-married,Other-service,Wife,White,Female,0,0,14,*,<=50K,languages,market place,English
38,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,pets,forum,Somali
25,Private,Assoc-voc,Never-married,Adm-clerical,Own-child,*,Female,0,0,60,United-States,<=50K,coding,market place,Hindi
30,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,5229,0,54,United-States,>50K,cooking,hangouts,Arabics
36,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K,games,things to do,Russian
28,Private,HS-grad,Never-married,Exec-managerial,Wife,White,Female,0,0,45,United-States,>50K,literature,advice,Bengali
18,Private,11th,Never-married,Other-service,Own-child,White,Female,0,0,3,United-States,<=50K,cooking,meet people,Russian
33,Private,Assoc-acdm,Never-married,Sales,Wife,White,Female,0,0,40,United-States,>50K,languages,market place,Bengali
46,Private,*,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K,music,things to do,Pashto
22,Private,Bachelors,Never-married,Tech-support,Own-child,White,Female,0,0,35,United-States,<=50K,tours,meet people,Somali
49,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,coding,market place,Dari
22,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,pets,advice,Bengali
56,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1735,40,United-States,<=50K,food,forum,Ukranian
58,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K,literature,things to do,Spanish
23,Private,Assoc-voc,*,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,literature,hangouts,Hindi
51,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,basketball,things to do,Belarussian
